ID_encrypt,_Birth_Date_,Gender,_Country_of_Citizenship_,_Country_of_Birth_,_Preferred_Zip_Postal_Code_,_Local_Zip_Postal_Code_,_Group_1__Name_,_Group_1__Number_,_Education_1__Degree_Major_,_Offering_Enrollment_Date_,_Group_Payor_,_New_or_Returning_,Session,_Completion_Date_,Quarter_2,Quarter
0x01545C4D84D36290CAD3B49D0401D16D0238002368F6F65202AC24F87BAB9C5E7485CB841A0920FA4EED838EED0D5FDA64345D92C0A8DF169911FA19FB00DBEC87,14 Mar 1984,F,China (Peoples Republic),China (Peoples Republic),90034,90034,Empowertrain,G001481,NULL,09 Sep 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01DE4A87B267E6F9C58164C9D3BAD360C27B33794F01244B5B660A0CB268E84A98CC8A5F2CBA3A78CA93C209B86D79624EE403A63211A1FA46B9EFECB59944EB2D,03 Feb 1994,F,France,France,90024,NULL,ISPA,G002093,Bachelor of LEA English-Spanish,11 Aug 2016,ISPA G002093,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01CFFB51F29C7A7266240881D7208A1433A3C55EB13ADAEE39ECD964E81144CE170BB22087036DE5D8C182D3004CE390666B9C6F8A3970A0DB1C5652550E18FB2E,17 May 1997,F,Kuwait,Kuwait,NULL,90404,Consulate General of the State of Kuwait,G001147,NULL,28 Sep 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0162A0DA7226C8E31B5DC51BC245F23F07A3EB37840512A9613AABDCE2DF758F92FFC37C8CDD90ABAD10B083EA182098DAD52649B42ACD77022E9D4942690EB5C4,03 Feb 1994,M,Japan,NULL,90230,90034,Ryugaku Journal Inc.,G000907,NULL,06 Sep 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0141CC6F459631544DCCF6DDE7A2A405C3501250E1F1B721255BC1CC08B201A77C43DAB00EBC50D4252950C06355FB1DF219E280893369AA7C5FFC05E3306F5B95,17 Apr 1998,F,Mongolia,Mongolia,90004,NULL,NULL,NULL,HIgh school completion,11 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01EF3D35A5C5C7F295843F0ADCD209164514C0B96A2499DA81068EE8F88E11B560C624A0E07DDDD1DB30F353D08E9873A38C77C5FF2AFCB753C0133D22F7049324,29 Aug 1993,F,Uzbekistan,Uzbekistan,90024,90024,NULL,NULL,Bachelor,29 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x019BF03AD8B5EEC0368F469D17F0225CBE388D5098041DD6D823C4475385746FA4D4C2BBA1477538F5B176F978FA66602FB963F885CE1F91B33DCA6DD6468714C8,12 Jun 1994,M,Japan,NULL,530-0004,NULL,JTB Gaiarec Inc.,G001302,NULL,27 Sep 2016,JTB Gaiarec Inc. G001302,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01FEA38494BBF29AB746601E06F82E5F066D4CF748510370DE91DD3FB0E738A1FEEEDD744EF0C84F9BF3BD90AD1B8C4C174B46667B81F68BD4DC128B7978D40DFD,17 Jul 1990,F,Japan,Japan,8511132,NULL,"Los Angeles Info, Inc.",G002196,NULL,17 Aug 2016,"Los Angeles Info, Inc. G002196",New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01ED9F2320509FFD0C559D6D3605CFEDCD5ECC47A97D6491CC1F8436A505959114436BA23A490403B9180D509CEB5871843C6CA94E38E5308C79D4AC5E4CED9FC0,19 Aug 1991,F,Sudan,Qatar,90069,NULL,NULL,NULL,NULL,26 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01BAAF34F6A054B3B15C5FB2C8CFDBD33B33DA36BD6F1ECB2F6E166A3B342D566BFA856CFF4A7B8ED706654A91C65B581BB19796DDB145F7C03C0C37BF275AF565,28 Jan 1991,F,Kazakhstan,NULL,010000,90024,JSC The Center for International Programs,G001879,NULL,22 Aug 2016,JSC The Center for International Programs G002109,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x017C9E765FADDAEF8BBE86DFAC418298306E01B006B503E3E5A966FFF8A3A8D84C9409D5B124F356551AA1ACE15E233EFC05009E86192326CFEF924661703E4EA2,25 Feb 1981,F,"Korea, South","Korea, South",90077,NULL,iAE Global Network,G000712,NULL,01 Sep 2016,NULL,Returning,A,NULL,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x018AD18B601231FE8C474C4937925DB6E3CE96004D17BD2B0A04CB883CED4FE0AA29FA4C93924FA2848C2FA1E20BC997E37406EAED374FCB500F9A69F1C6C7C492,19 Dec 1994,M,Japan,Japan,5860002,90024,iAE Global Network - Japan,G002054,NULL,12 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0151A861AEDE8AB4C0AB250A347983245CDA4A11EE1AEE6C8A7C3BB6DBC7C722331603D4DD8D45DB14F54EBD48C99F0A06D517E342A70BC98035CDB4C0854870C4,01 Nov 1994,M,Japan,Japan,151-0053,NULL,Ryugaku Journal - Osaka,G002217,NULL,22 Jul 2016,Ryugaku Journal Inc. G002222,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0168E39F4BEC67E7ED291AD40A327864EA8C264DA7EC1A6950D35EFB4BC754EC348C0D4AED1818741802E2DF9682238FC56CAF0E8A8DDBAE0E6A0CCE3B43E374FC,27 Oct 1994,F,"Korea, South","Korea, South",90024,NULL,Uhak.com - Gangnam 1,G002316,NULL,28 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0179E7649A3B3C1F2918E34A68F39E64FD7A8A7BC0CD1F5205C6814B4E6BB0E2EDA885E1D115816DE533773ABF8090B5A1C052A5B7028BE39B5B094E5C0AD1E75D,02 Jul 1998,F,Germany,Germany,45219,NULL,NULL,NULL,NULL,12 Sep 2016,NULL,New,A,NULL,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01B228910DCF731574BB061C53CA543C954508DAB4002CA9396E008D8805687EFF3A7ECDEF6AEAE99482797F134C262EDFC8A0A71A95FDA81D655C20F7618E756A,17 Dec 1996,F,Japan,Japan,530-0001,90019,Ryugaku Journal - Osaka (KU),G001376,NULL,15 Aug 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01224A01553F7C5A249B7E01B79BD3C819E6EFAFE4E7C80CEBE0254663F809060E1EBB07F3439DB24F63CA6F0A2C28F1693AA58709F6BBB65DEDEF5E8BBA22B387,23 Nov 1986,M,Kazakhstan,NULL,010000,NULL,JSC The Center for International Programs,G001879,NULL,24 Aug 2016,JSC The Center for International Programs G002109,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01BE0D45DA3445F6E3BC0A804F8DE9C4EDF94CBE3DAA5E269C33C243551B72DEC24E8F529069C4E3FACC92B8478C9FDE40D08512E8FBB7834279A675A0E7FDC461,15 Jan 1995,M,Japan,NULL,NULL,NULL,Ryugaku Journal - Osaka (KU),G001376,NULL,15 Aug 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x013C71F03CD531041204A6B3A9B3C3DA2EC3E804BC9BE11294B307B675C3EF61F073C0B0ACD2182E9136FCA53F85FB81DF1D6F221DC2A452B3E1231C3879AADC4C,12 Jun 1994,M,Japan,NULL,950-2002,90029,Ryugaku Journal - Osaka (KU),G001376,NULL,15 Aug 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01FB795831BCB14280298B94BCF9E9C732EB475AB39FB35E03441F20237CC62528DEC0082D7F584BD5CC12D4DBAEC8163628079D729BFCE13E972E92E5EAA15BE6,18 Nov 1985,F,Japan,Japan,90034,NULL,Design Penguin,G002092,DVM,25 Aug 2016,Design Penguin G002092,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01FEC9469457210C69E986DC1CF2068F0C576B628CB52C5181E8E8563E1D939D3BEB9EA87207ADDA6AB9069878B10FA2AE44BB067E68F20DCF58F13CF80D192979,25 Sep 1991,F,Taiwan,Taiwan,90024,90024,NULL,NULL,NULL,09 Aug 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01C479462683B419EC0555DB324B0CA5A7369E5101E2D7EDFE0DC9241B1E7C3B77E45C3DF79C9D6D6E9A837F89C49F4B2A9C56FAA3B638FCB01EE46AC53464F9AF,15 Apr 1998,F,Kuwait,Kuwait,00965,90036,Consulate General of the State of Kuwait,G001147,NULL,29 Sep 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x013DC946D7A154CED86C221759A100E3B234D96E7FEF1138A2B3E94F46A73DA729746E2C4E2B6F2355D79D5F874A4DF9976DEA4A92DDFC128ED73C34D54E0788C6,14 May 1998,F,Kuwait,Kuwait,90024,90024,Consulate General of the State of Kuwait,G001147,NULL,23 Sep 2016,Consulate General of the State of Kuwait G001147,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01DE3A00B157AC4459F3FD88ACA45CC59829F8099DBBC6C46AB213568FEA88A5C3FD11FB03C64C9F3D3AE7A1D764F86BCD2D95391756DC564C58CC022BB58DFFC3,03 Feb 1997,M,Saudi Arabia,Saudi Arabia,90049,90049,Saudi Arabian Cultural Mission,G001009,NULL,28 Sep 2016,Saudi Arabian Cultural Mission G001009,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01C3E7C1145AD4BBFD3E571A5B2458DDC9A1C6A735A3AF0D7A762EA32B1A8A70AA17D4CCC7E01660C9443E526A5BE5324DA79CC10A85E81BF8E7896E58876B9921,08 Jul 1993,M,Turkey,Turkey,07160,90025,NULL,NULL,NULL,12 Sep 2016,HIT Istanbul G002262,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01E896111C14750FF43CDC8C9BDBD6C7A4BB04A121DC102D37155D43FCD7A19A90CE5C6CD6F17A9615F4C050E5041961009F456A04B880512CF959687682F2BBCF,10 Sep 1991,M,Saudi Arabia,NULL,NULL,90025,Saudi Arabian Cultural Mission,G001009,NULL,23 Sep 2016,Saudi Arabian Cultural Mission G001009,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01348EFF6E652AB8391131CE9AA853DBE5E187F90EF951450D9BF11DCAE90A83E5FACA963993D763F97AFA6565C2D16EF133597EE5BD073598EE6881BB1853C60E,15 Dec 1984,F,China (Peoples Republic),China (Peoples Republic),100025,NULL,NULL,NULL,NULL,12 Aug 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x017ADC90FB80E254543E7F4D0136C8253D9B1E28A8E92942E62750B68CD77C54FD0C3A901ADA1990DE9516A5704AD98A9F23B3A7BBA535D2C3AE4FBBA07EF85308,13 Jun 1994,M,Japan,Japan,530-0001,90024,Ryugaku Journal - Osaka,G000672,NULL,15 Aug 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x01971396343C8F481B8124ED4872E0E6AD7B4F0A06CF691A82D47CF6FEFEDCE4FDCA421B307BB5788833B67622921167FFFB908C7A13B4B951DF9199EEB0AEAB8B,13 Feb 1998,F,Japan,NULL,90248,NULL,Wish International Inc.,G001129,NULL,15 Aug 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x0103B0B231B42CF1FEAF4094B6939E75CD67FC11A7E7ADF50F19F4711B3D0C1C3A748DC0962E4CD94C1EEFE4C1D1E67E15DE0B4E8640965F5E9B12B68B258196BA,22 Mar 1993,F,"Korea, South",NULL,137-855,NULL,Chongro Overseas Educational Institute,G001664,NULL,07 Sep 2016,NULL,Returning,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
0x015B266774BCD7833527421900BDEB4BDB56FA139B85D616F2C7D6A7248C1812EB587B4C44F7464E79BDD20FF1C1030B1CC6081EFD443E0A05F996CE217B2FD6C3,12 Dec 1987,M,India,India,90034,NULL,NULL,NULL,NULL,15 Sep 2016,NULL,New,A,02 Dec 2016,2016-2017 - Fall 2016,16FA-AIEP_FA_16
